,original_amount,revised_amount,year,GDP_growth,inflation,manufacturing_value_added,official_exchange_rate,ENT  (ENTERTAIN),GENERAL,GS   (GEN SERV),HUD (GEN SERV-HUD),INS  (INSTRUCTOR),IT/TECH,LS   (LEASE SVCS),LW   (DON'T USE),PRO  (PRO SERVIC),RISK - HR / INS,RNT  (EQUIP RENT)
5884,69067.0,69067.0,2019,1.84187539518688,1.46483265562714,11.7981164603897,1,0,0,0,0,0,0,0,0,0,0,0
5885,4246.58,4246.58,2010,2.06159311851432,8.00279982052117,10.70037081,1,0,0,0,0,0,0,0,0,0,0,0
5886,30000.0,23404.48,2017,2.70636958176399,0.118627135552435,11.6623134302954,1,0,0,0,0,0,0,0,0,1,0,0
5887,969.0,969.0,2010,2.06159311851432,8.00279982052117,10.70037081,1,0,0,1,0,0,0,0,0,0,0,0
5888,224120.0,182805.75,2013,2.29443907769311,1.81221007526015,11.0580367745651,1,0,0,0,0,0,0,0,0,0,0,0
5889,4000.0,1871.15,2012,-2.76780251140578,1.23358439630637,10.6290647168458,1,0,1,0,0,0,0,0,0,0,0,0
5890,22957.92,14426.0,2012,-2.76780251140578,1.23358439630637,10.6290647168458,1,0,1,0,0,0,0,0,0,0,0,0
5891,47805.0,47805.0,2019,1.84187539518688,1.46483265562714,11.7981164603897,1,0,0,0,1,0,0,0,0,0,0,0
5892,20000.0,6562.5,2019,1.84187539518688,1.46483265562714,11.7981164603897,1,0,0,1,0,0,0,0,0,0,0,0
5893,9234.49,0.0,2014,2.9453848312678,2.44258329692818,11.348073930706,1,0,0,0,0,0,0,0,0,0,0,0
5894,5100.0,5100.0,2010,2.06159311851432,8.00279982052117,10.70037081,1,0,0,0,0,0,0,0,0,0,0,1
5895,1401.0,1401.0,2010,2.06159311851432,8.00279982052117,10.70037081,1,0,1,0,0,0,0,0,0,0,0,0
5896,62300.0,54170.0,2018,2.28777593255359,1.62222297740821,11.6554754899495,1,0,0,1,0,0,0,0,0,0,0,0
5897,16246.33,12830.69,2016,1.66747207596187,1.26158320570537,11.2236379165299,1,0,0,0,0,0,0,1,0,0,0,0
5898,11000.0,10024.36,2019,1.84187539518688,1.46483265562714,11.7981164603897,1,0,0,0,0,0,0,0,0,0,0,0
5899,112000.0,346801.11,2021,1.54989495017045,3.15684156862206,11.9472468321556,1,0,0,1,0,0,0,0,0,0,0,0
5900,25000.0,25000.0,2017,2.70636958176399,0.118627135552435,11.6623134302954,1,0,0,1,0,0,0,0,0,0,0,0
5901,0.0,0.0,2010,2.06159311851432,8.00279982052117,10.70037081,1,0,0,1,0,0,0,0,0,0,0,0
5902,3500.0,3500.0,2018,2.28777593255359,1.62222297740821,11.6554754899495,1,0,0,0,0,0,0,0,0,0,1,0
5903,4577.17599222573,3785.53367877418,2021,1.54989495017045,3.15684156862206,11.9472468321556,1,0,0,1,0,0,0,0,0,0,0,0
5904,9200.0,0.0,2019,1.84187539518688,1.46483265562714,11.7981164603897,1,0,0,1,0,0,0,0,0,0,0,0
5905,7000.0,6831.45,2015,2.24192121597748,2.13011000365963,11.2588564739494,1,0,0,0,0,0,0,0,0,1,0,0
5906,6854.0,6854.0,2010,2.06159311851432,8.00279982052117,10.70037081,1,0,0,1,0,0,0,0,0,0,0,0
5907,5000.0,5000.0,2021,1.54989495017045,3.15684156862206,11.9472468321556,1,0,0,1,0,0,0,0,0,0,0,0
5908,11000.0,11000.0,2012,-2.76780251140578,1.23358439630637,10.6290647168458,1,0,0,1,0,0,0,0,0,0,0,0
5909,42500.0,42500.0,2020,2.28068760319185,2.06933726526059,11.8575606302731,1,0,0,1,0,0,0,0,0,0,0,0
5910,6250.0,6250.0,2016,1.66747207596187,1.26158320570537,11.2236379165299,1,0,0,1,0,0,0,0,0,0,0,0
5911,14000.0,13181.4,2014,2.9453848312678,2.44258329692818,11.348073930706,1,0,0,1,0,0,0,0,0,0,0,0
5912,786.22,786.22,2010,2.06159311851432,8.00279982052117,10.70037081,1,0,0,1,0,0,0,0,0,0,0,0
5913,8032.5,11842.05,2015,2.24192121597748,2.13011000365963,11.2588564739494,1,0,0,1,0,0,0,0,0,0,0,0
5914,10000.0,2112.5,2019,1.84187539518688,1.46483265562714,11.7981164603897,1,0,0,1,0,0,0,0,0,0,0,0
5915,850.0,850.0,2011,5.94548476122172,4.69785886363739,10.7103708073141,1,0,0,1,0,0,0,0,0,0,0,0
5916,800.0,800.0,2010,2.06159311851432,8.00279982052117,10.70037081,1,0,0,0,0,0,0,0,0,1,0,0
5917,29254.5,29924.5,2014,2.9453848312678,2.44258329692818,11.348073930706,1,0,0,0,0,0,0,0,0,0,0,0
5918,1539000.0,1688594.15,2018,2.28777593255359,1.62222297740821,11.6554754899495,1,0,0,0,0,0,0,0,0,0,0,0
5919,82655.25,82655.25,2013,2.29443907769311,1.81221007526015,11.0580367745651,1,0,1,0,0,0,0,0,0,0,0,0
5920,27644.09,27644.09,2018,2.28777593255359,1.62222297740821,11.6554754899495,1,0,0,1,0,0,0,0,0,0,0,0
5921,7500.0,7500.0,2021,1.54989495017045,3.15684156862206,11.9472468321556,1,0,0,1,0,0,0,0,0,0,0,0
5922,2600.0,2250.0,2016,1.66747207596187,1.26158320570537,11.2236379165299,1,0,0,1,0,0,0,0,0,0,0,0
5923,23453.1,17281.0,2016,1.66747207596187,1.26158320570537,11.2236379165299,1,0,0,1,0,0,0,0,0,0,0,0
5924,50000.0,0.0,2015,2.24192121597748,2.13011000365963,11.2588564739494,1,0,0,1,0,0,0,0,0,0,0,0
5925,550.0,550.0,2010,2.06159311851432,8.00279982052117,10.70037081,1,0,0,1,0,0,0,0,0,0,0,0
5926,1200.0,1200.0,2010,2.06159311851432,8.00279982052117,10.70037081,1,0,0,1,0,0,0,0,0,0,0,0
5927,34665.813439874,36155.7440424749,2021,1.54989495017045,3.15684156862206,11.9472468321556,1,0,0,1,0,0,0,0,0,0,0,0
5928,1600.0,1600.0,2010,2.06159311851432,8.00279982052117,10.70037081,1,0,0,1,0,0,0,0,0,0,0,0
5929,2621.0,2621.0,2010,2.06159311851432,8.00279982052117,10.70037081,1,0,0,1,0,0,0,0,0,0,0,0
5930,3562.96301312437,11253.4760605523,2015,2.24192121597748,2.13011000365963,11.2588564739494,1,0,0,1,0,0,0,0,0,0,0,0
5931,908.25,1076.25,2015,2.24192121597748,2.13011000365963,11.2588564739494,1,0,0,0,0,0,0,0,0,0,0,1
5932,14794.7118583018,16460.4574359509,2010,2.06159311851432,8.00279982052117,10.70037081,1,0,0,1,0,0,0,0,0,0,0,0
5933,89000.0,88472.29,2013,2.29443907769311,1.81221007526015,11.0580367745651,1,0,0,0,0,0,0,0,0,1,0,0
5934,1150.0,1150.0,2011,5.94548476122172,4.69785886363739,10.7103708073141,1,0,0,1,0,0,0,0,0,0,0,0
